paper_id,conference,analysis_stratum,visual_narrative,caption_system,table_header_system,method_result_ablation_link,main_appendix_link,typography_consistency,color_consistency
iclr-2026-88c6c50ec3eb,ICLR,outstanding,"There is no Figure/Table narrative. The paper's evidence path is carried by prose and numbered mathematics: Example 2 and counter intuition lead to the tiling/gadget reduction, precision bound, UHAT-to-LTL construction, succinctness results, and completeness theorems.","No Figure, Fig., Table, Tab., or Algorithm captions occur on pages 1–21; consequently there is no caption title, encoding key, main-finding statement, uncertainty definition, or appendix pointer.","No table or table header exists. Given/Question blocks, bullet lists, aligned equations, and theorem statements are prose or mathematical displays rather than header/body tables.","No visual result or ablation object is present. Method, theory results, and boundary claims are linked by section references, numbered propositions/theorems, displayed equations, and appendix proof calls; the five A.2 gadgets are a correctness construction, not a component-deletion ablation.","The main text calls Appendix A.1–A.7 for proof details, while the appendix supplies equations and invariants only. Neither the main text nor Appendix A contains a Figure/Table, so there is no main–appendix visual pairing.","No Figure/Table typography can be compared. The rendered document maintains a single-column serif/math and numbered-display hierarchy across the main text, references, and appendix.",No Figure/Table semantic color system exists. Purple citation/link text and black body/equation text recur as document-level styling and are not visual data encodings.
iclr-2026-a6ddc629568b,ICLR,outstanding,Figure 1 先给 headline 与 Aptitude/Unreliability framing；Figure 2–4 定义 simulator、五种 disclosure schedules 和六任务 matched construction；Table 1 与 Figure 5 在 p.7 组成 central evidence block；Appendix Figure 6/7 与 Table 2 验证 sharding/simulator 和 P/A/U 识别；Figure 8/9 与 Tables 3/4 展开 post-hoc behavior analyses；Tables 5–8 测试 repetition、system prompt、temperature 和 episodic-task boundary；Tables 9/10 与 Figure 10 负责 taxonomy、access reproducibility 和 failure trace。,Figure 1/5/7/8/9/10 的 caption 包含 headline 或机制方向；Figure 2–4/6 主要说明 setup 和 encoding；Table 1–4/7 解释条件、分组和比较，Table 5/6 指明 intervention，Table 8–10 偏向 scope、taxonomy 和 metadata。多数 caption 自包含，但图标、A/U 定义和 Table 2 denominator 仍需正文。,Table 1/3/4/5/7 使用多层 grouped headers 表示 setting、model、timing 或 verbosity；Table 2/6/8 以 task/model group 组织窄表；Table 9/10 使用平面定义/metadata headers。booktabs 横线、1 位小数和 cell shading 构成跨对象规则，缺失值或非数值对象不用伪造的 zero。,Figure 3 的 schedule → Figure 4 的 task construction → Table 1 的 FULL/CONCAT/SHARDED main comparison → Figure 5 的 A/U 与 shard-count stress test → Appendix Tables 5–8 的 mitigation/scope。Figure 2/6/9/10 将 simulator、classifier、extraction 和 behavior evidence 连接到结果，但 post-hoc slices 仍不构成干预识别。,正文保留 Figure 1–5 与 Table 1，使 headline、方法接口、任务覆盖和 central matrix 可独立阅读；附录承载 simulator QA、didactic decomposition、mechanism slices、mitigations、translation negative result、model access 和 qualitative trace。Figure 5c/Appendix L、Table 7/Appendix M、Table 5/Appendix N 之间有明确调用。,正文/caption/table 共享 Nimbus Roman No9 L，公式共享 Computer Modern math，代码和模型版本局部使用 Fira Mono；图内无衬线字体略有差异，但字号层级（caption 大于图内标签、表格数值较小）稳定。,浅红普遍表示 degradation/unreliability，蓝/黄主要表示 fully-specified/sharded instruction，绿色表示 success，橙/蓝/绿虚线表示 setting/reference。图内颜色多数有位置、文字或符号补充，但 Figure 1/5/6/10 的混合语义使灰度复核弱于黑白表格。
iclr-2026-009a09dc4347,ICLR,oral,Figure 1 先建立 baseline→MNPO→heterogeneous 的接口；Table 1 将 Eq. 17 的控制旋钮统一；Tables 2–4 给主结果；Appendix Tables 5–8 承担 player/base-model/judge/reward-model 消融与稳定性；Table 9 回到文献 objective。全篇没有 loss、duality-gap、gradient-variance 或训练曲线，机制动态主要停留在文字。,caption 统一采用 Figure/Table n: 加标题和设置；Table 5、7、8 额外写出结论或统计规则，Table 7 的首句使用 medium/bold；Table 2–4 把单位和 AVG 定义留给正文，Table 7 缺 benchmark，Table 9 给出最完整的符号定义。,Table 3/4 使用能力组→任务的两级表头；Table 1/2/5–9 使用单级表头。Model、benchmark、reward model、judge 命名稳定，竖线作为组边界，横线分隔 baseline/variant 或外部模型组。,Figure 1 暴露方法接口，Table 1 固定统一参数轴，Tables 2–4 比较方法结果，Table 5 改变 player count，Table 6 改变 base model，Table 7 改变 judge 并重复运行，Table 8 对照 2/3 players 与 reward models；Table 9 提供 prior objectives 的形式背景。,正文保留 Figure 1、Table 1–4；附录保留 Algorithm 1–2、Table 5–9、证明和实验细节。Table 8 明确把 3-player 数值复制自 Table 2；p.9–10 主结果未直接调用 Tables 5–8 的表号，player-count、base-model 和 judge/run 证据需要读 Appendix D。,表格内部以 Nimbus Roman/Computer Modern 为主，Figure 1 使用 Arial/Segoe UI Emoji；Table 1/9 的公式约 6 pt，Table 2–4 约 7.3 pt，Table 5–8 约 8.7–10 pt。附录字号和图示字体差异提高跨对象复核成本。,表格完全黑白；Figure 1 以淡蓝=dataset、淡黄=policy、淡绿=RM 的角色 palette，并在 panel 标题、形状和图标中重复语义。没有跨图表的 quantitative color scale 或共享 legend。
iclr-2026-023366ecf605,ICLR,oral,"Figure 1 先把 188 projects/1,507 instances、task input、pre/post oracle 与 security impact 串成总览；Figure 2 固定 OSS-Fuzz 版本/patch 接口；Figures 3–7 依次比较 LLM、thinking、framework、difficulty 与 PoC-length；Figure 8 提供一条成功 trace；附录用 prompts、inventory、checkpoint/commit、balanced slices、failure table/distributions 和 Figures 19–25 traces 闭合复现与失败机制。",所有对象使用“Figure/Table N:”加描述的 ICLR caption；定量主图 caption 多只给标题和比较对象，正文承担数字结论；附录 prompt/trace caption 短而指向性强。多数 caption 自包含不足，尤其未写分母、误差/± 定义、cost、level 或完整 trace 规则。,表格以黑白 booktabs/minimal rules 为主，单层表头占多数；表 3/5 通过重复列组或 row group 处理异质数据，表 2/8/9 把率、计数、level/类型维度放在同一 header。单位常嵌在指标名（%、#、LoC(k)、bytes）而非独立列，动态元数据和配置分散在正文/附录。,Figure 2 与 F9–F13 把版本、过滤、prompt 和 README 输入接口显式化；Figures 3–7 将其映射到 model/framework、thinking、difficulty 和 PoC-length 结果；F14–F18 与 T8/T9 做 contamination、composition、crash-type 和 resource/failure diagnostics；F19–F25 将 failure aggregates 落到可读 trace。,正文保留 Figure 1–8 和 Table 1–2 的故事骨架；附录 T3–T9 给人口、崩溃类型、项目、版本与失败聚合，F9–F18 给 prompt/分布/平衡/step 诊断，F19–F25 给案例。主文的 34 zero-day/18 incomplete-patch 影响结论主要由正文统计和附录 E/案例支撑，图表未完全展示根因证据。,正文/标题/表格的 Nimbus Roman 与数学字体稳定；结果图常为 DejaVu Sans 轴标签，prompt/trace 使用 Nunito/Meslo 等宽体。跨对象字体角色清楚但字号跨度大，表 5、trace 和 prompt 在页面级缩放下成为阅读瓶颈。,紫/蓝是主定量结果基线，teal/blue 表示 paired conditions，灰白表示 prompt/trace；F1/F2 使用语义状态色。颜色语义在同一图内通常清楚并有图例/位置/hatch 冗余，但跨图并非严格固定，且若无纹理或标签，灰度可读性下降。
iclr-2026-05937b7dc737,ICLR,oral,"Figure 1 establishes the HSD method interface; Figure 2 supplies a concrete GSM8K generated-prefix example; Table 1 carries the Qwen2.5 headline comparison; Table 2 extends it to 11-candidate multi-draft; Table 3 tests temperature and draft length; Table 4 tests LLaMA-family and EAGLE-3 integration. Appendix Figure A.1 connects expected full-draft acceptance theory to data, while Tables A.1–A.4 cover repeated-run robustness, accuracy/fidelity, capping and runtime. Figure A.1 is physically present even though the supplied reading inventory omits it.","Captions use Figure/Table [label]: followed by a descriptive title. Figure 1 bolds its title; most captions describe setup/comparison rather than state a numerical conclusion. Figure A.1 is tied to the appendix acceptance term, and Table A.1 most clearly defines an uncertainty aggregation. Model, hardware and denominator details usually remain in surrounding prose.","Main tables group Block Efficiency and Decoding Speed with model scales or dataset/condition headers; composite Tables 3–4 use subpanel titles. Appendix tables mostly use one-level headers. BE, DS, ACC and N/A are not uniformly defined in captions, and Table A.3 leaves its ± statistic unspecified.","Figure 1 maps §§4–5/Algorithm 2’s backward hierarchical resampling interface; Figure 2 grounds §5.4’s token example; Table 1 gives headline results; Table 2 tests multi-draft compatibility via Appendix G/Algorithm 3; Table 3 varies temperature and draft length; Table 4 tests cross-family/EAGLE integration; Figure A.1 visualizes Appendix D’s acceptance-probability mechanism; Tables A.1–A.4 close robustness, fidelity, capping and cost boundaries.",The main text points to Appendix E for extended experiments and Appendix H for runtime. Appendix A–D provide the theoretical/expected-length basis for Figure A.1; Appendix F contains implementation listings; Appendix G describes RRS integration; Appendix H supplies Table A.4. The appendix extends each main claim family rather than introducing a separate visual grammar.,"Body/captions use Nimbus Roman No9 L at about 10 pt, main tables compress to about 7 pt, and appendix tables return to about 8–10 pt. Figure 1’s Palatino/Calibri/Times/Symbol mix, Figure 2’s monospace output and Figure A.1’s raster plotting type create local mismatches that remain functionally legible.","Figure 2 and all tables are grayscale; Figure 1 and Figure A.1 use unrelated local categorical palettes. No color role, such as HSD versus baseline, persists across figures and tables, so method identity must be re-learned in each object."
iclr-2026-061ba26bb9ff,ICLR,oral,正文 Figure 1–4 依次给出 continuous/discontinuous 理论形状、a/p 阈值全景、finite-N 频率和 α0 extraction；Appendix B Figure 5 解释 g-crossing，Appendix D Figures 6–7 扩展 p* 与 underparameterization，Appendix E Figure 8 扩展 activation，Appendix F Figures 9–10 连接 dynamics。主线为理论机制→参数趋势→有限尺寸观测→边界与动态扩展。,10 个图注均以普通字重 Figure n: 开头，未使用粗体结论标题。Figures 2、3、5 的 encoding/crossing 说明较完整；Figures 4、6、7、9、10 偏标题与设置；Figure 8 报告 60 runs 但未定义 band；Figures 9–10 报告 correlation 但未给 error-bar 聚合或重复数。,PDF p.1–26 没有 Table 对象，因此不存在可审计的表头层级、row group、规则、精度或高亮系统；结果信息全部由 Figure 承载。,正文公式 (1)–(18) 定义 teacher–student、Hessian、overlap 和 BBP crossing；Figures 1–4 将解析结果接到 finite-N 观测，Figures 5–8 给出 edge、p* 与 activation 扩展，Figures 9–10 给出 dynamics 关联。论文没有组件消融 Figure；Figures 6–10 应标为 robustness/qualitative extension，而非 ablation。,Figure 1–4 在正文 p.6–9；Appendix B Figure 5 回收 transition type 的 edge crossing；Appendix D Figures 6–7 检查 p* 与 underparameterization；Appendix E Figure 8 给出非线性定性扩展；Appendix F Figures 9–10 给出 preliminary dynamics。Appendix A 是主要推导背景，但没有额外 Figure/Table。,正文和图注的 PDF 字体以 NimbusRomNo9L/Computer Modern 为主；Figures 1–8 的 raster 内部标签约 5–11 pt，Figures 9–10 的向量 small multiples 约 4.5–9 pt。图内字体与 caption 字体有 raster/vector 分层，前 8 图也没有公开源文件证明共享 rcParams。,共同的白底、黑轴和浅灰网格保持了基础一致性；系列颜色的语义在图之间改变，且多系列对象依赖颜色。只有少数 p=∞/阈值/marker 使用线型或形状冗余；整体灰度安全性有限。
iclr-2026-09d94b8d6d44,ICLR,oral,主文 Figure 1 先给出三阶段 position-ID architecture 与 PCA/RSA/CMA 接口，Figure 2 检验 relative/absolute coding，Figure 3–5 以 PUG、patch-key 和跨任务 intervention 做因果行为验证，Figure 6–7 将 entropy 与 binding failure 连接。附录按数据设计→CMA 条件→全模型 representation/CMA→空间编码→entropy→K/α sweep→COCO→counting→activation patch table 展开，形成“机制接口→表征→局部因果→任务与失败边界”的单一视觉叙事。,47 个 figure caption 均以 “Figure n:” 加标题开头；主文 Figure 1/2 解释较完整，Figure 3–7 多为标题式短 caption。附录 Figure 26 是唯一明显的 bold headline 且含详细 encoding/pointer；Figure 38–44 仅给模型名。caption 很少定义误差条、阴影带、分母或主发现，信息主要留在正文。,唯一 Table 1 使用两级表头：Model、High Entropy、Low Entropy 下的 No/With Intervention 与 Improvement；LLaVA/Qwen 行分组以横线隔开。两位百分比精度统一、无高亮和颜色，表头明确了干预条件但未定义 improvement 的单位或不确定性。,Figure 1 的三类 head 通过 Figures 10–12 的 CMA conditions 和 Figures 20–25 的 layer×head heatmaps 定位；Figures 3–5/30/46 将定位转成 stage-specific intervention，Figures 38–44 扫描 K/α，Figure 47 用 top-vs-bottom ablation 检验 downstream counting。,正文 Figures 1–7 是最小机制论证；Appendix Figures 8–13 给 stimulus/CMA/intervention protocol，14–25 给模型和 head 全量，26–30 给 PCA/RSA/position coding 扩展，31–44 给 entropy 与 hyperparameter robustness，45–47 和 Table 1 给 COCO、counting、binding-error causal boundary。,PDF font objects show Nimbus Roman No9 L/Medium、Nimbus Mono L、DejaVu Sans、Open Sans Bold 与 Computer Modern math；正文/caption 的衬线体系稳定，图内 sans/mono 标签角色稳定。附录 heatmap 与 sweep 的字号降到约 3.5–6 pt，虽保持字体体系但降低可读性。,蓝/红/绿三阶段色在架构、CMA 条件、PUG bar 和 heatmaps 中重复；RSA 常用薄荷绿/洋红/深灰，entropy 常用蓝/红，行为对照常用灰度。语义颜色跨对象大体稳定，但 heatmap 每阶段独立 sequential scale、sweep 使用多色 Top-K、COCO 使用 salmon shades，且没有统一全局色板或色盲安全冗余。
iclr-2026-0aa8e3fa3f6d,ICLR,oral,Figure 1 先绑定三种 coding trajectory 与外推曲线，Figure 2 展示 pointer-memory 机制与 addition 结果，Table 1 统一 synthetic 外推摘要，Figure 3 扩展到自然语言，Figure 4–10 展开任务构造、seed、baseline、训练配置与 agent setup；叙事主线是有限内部状态→外部工具接口→轨迹学习→长度外推。,Figure 1/2 caption 相对完整，Figure 3 过短；Figure 6/7 给出设置细节，Figure 8/9 依赖前置段落，Figure 10 的 median/average 术语冲突。Table 1 自带 notation/threshold 定义，Table 2 复用该 notation 却未重述。,两表均以 Model 和 n→m(p%) 结果语法为核心，横线分隔 recurrent/SSM 与 Transformer，黑白 booktabs 配合粗体最佳单元；Table 2 缺少 recursive/iterative algorithm-variant 层级。,Figure 2/4 承担 method interface；Figure 1/3、Table 1、Figure 6 承担主比较；Figure 5/7/8/9 承担 robustness/ablation；Figure 10 承担 agent setup/failure。Figure 6 caption 的 pointer/search tool 用语是最明显的跨对象接口冲突。,正文 p.7–10 通过 Appendix C/D/E/F 指针后移训练超参、tool algorithms、seed sensitivity、ablation、Hybrid/RMT 和 coding prompt。Table 1 的 best-seed 聚合需要与 Figure 5 的 all-seed 展开对照。,正文使用 Nimbus Roman/Computer Modern；图表使用 DejaVu Sans；轨迹和 screenshot 使用 Lucida Console、Aptos 或 raster 内字体。Figure 2/6 的模型 palette 与 Figure 7/8/9 的 facet typography 基本稳定，概念图的混合字体较多。,Figure 2/6 共享蓝—橙五模型语义，Figure 7 使用蓝/橙/绿训练长度，Figure 8/9 共享 mixture weight palette。多数 quantitative plots 主要依赖颜色，Figure 2/6/7/8/9 用 marker 提供冗余；Figure 5 的十条 seed 线没有身份冗余。
iclr-2026-0b114f73a492,ICLR,oral,视觉叙事从 Figure 1 的 KV compression/accuracy–TPOT headline 开始，经 Figure 2 的 quantization–eviction trade-off、Figures 3–5 的 sparsity/importance/association 三个机制观察，再由 Figure 6 的 TBQ/TBE/block walkthrough 和 Figure 7 的 gather cost 进入系统设计；Figure 8–11 与 Tables 1–5 汇总主结果和 ablation，Figures 12–18 与 Tables 6–15 扩展 notation、prompt/layer、模型、batch、utility 与 hybrid setting。,caption 统一以 “Figure/Table N:” 开头，通常先给标题再给模型/任务或 panel setup；只有 Figure 5、Table 2、Table 14 等少数对象定义符号/缩写，颜色、背景带、error/box 语义多依赖图例或正文。caption 多为报告性而非粗体 headline，Figure 17 明确写出 Pareto comparison/finding。,正文表用窄 inset、粗体 header、booktabs/partial-grid 横线、FullKV 灰色与 ThinKV 绿色；双层 header 主要用于 GPU（Table 2）和 ThinKV/R-KV breakdown（Table 5）。表头大多包含单位和方法配置，但 norm./Acc./Budget 等缩写与分母仍需正文。,Figure 6 将 thought type、TBQ/TBE、logical/physical blocks 具象化；Figures 3–5/12/13–16 提供机制和失败/敏感性证据；Figures 8–11、Tables 1–5 将 accuracy、memory、throughput、latency 和组件 ablation 对齐；Tables 8–15 进一步测试模型/effort/mode/batch/utility/hybrid 边界。,正文 Figures 1–11 与 Tables 1–5 给 headline、机制和系统决策面；附录 Table 6/7 负责 notation/keyword contract，Figure 12 展开 eviction policy，Figures 13–16 展开 attention/association/quantization slices，Figure 17/18 与 Tables 8–15 覆盖 generalization、Pareto、vLLM、Qwen、TPR/Intel.-per-Watt 和 SnapKV hybrid。Algorithm 1 与 Listing 1 是 PDF 中的独立对象，按 schema 不计入 figures/tables 数组，但在附录链路中保留。,PDF 字体对象以 NimbusRomNo9L regular/medium/italic、Computer Modern math 和 NimbusMonL 为主，嵌入图中另有 Helvetica/TimesNewRoman/DejaVuSans。正文 caption/表格层级一致，但 raster 图内部字号和外部 caption 不总是同一 family；估计属性均明确标注 rendered_estimate。,R/E/T 在多处采用蓝/橙/红，FullKV 常为灰，ThinKV 常为绿；但 Figure 1/6 状态色、Figure 5/15 红色 heatmap、Figure 13 viridis、Figure 17 Pareto 方法色及 Figure 10/11 ablation palette 存在局部重映射。marker、文字、panel 位置和 hatching 提供部分冗余，整体仍非灰度/色盲安全。
iclr-2026-0c8eb54755cf,ICLR,oral,"The visual narrative starts with Figure 1’s perturbation insertion interface, moves to the headline dilution grid (Figure 2), and then grounds the benchmark boundary with the main MIA Table 1 and unlearning Figure 3. Appendix Figures 4–12 expand copyright, direct/indirect privacy, and test-set contamination; Figures 13–16 test timing, paraphrase transfer, and architecture; Tables 2–10 provide dataset, model, benchmark, and prompt contracts; Tables 11–15 and Figures 17–23 close MIA, unlearning, size, and interference boundaries.","Captions consistently begin “Figure/Table N:” and usually sequence title → experimental setup → encoding/metric key → comparison or finding. The strongest captions (Figures 2, 7, 13–16, 22–23; Tables 1, 9–10) define the intervention or point to companion objects. Several appendix captions are terse (Figure 10) or retain typographical errors (“paraphased”, “Defitions”), and uncertainty definitions are rarely in captions.","Tables use bold serif headers, grouped horizontal rules, and compact super-headers. Exposure bins (Dup ≠ 0, 1, 4, 16, 64, 256) recur as a stable column contract for MIA/count tables; scale groups recur in benchmark tables; prompt/configuration tables switch to descriptive columns and monospace blocks.","Figure 1 defines the data intervention; Figures 2, 4–12 quantify domain-specific memorization; Figures 13–16 vary timing, paraphrase, and architecture; Tables 3–5 and 15 expose counts/configurations; Figures 17–21 test MIA and unlearning operating behavior. The links are strongest when the same duplicate axis and model legend recur.","The three main figures and Table 1 state dilution, MIA, and unlearning claims. Appendix D decomposes risk domains, Appendix E varies timing/paraphrase/architecture, Appendix F expands MIA, Appendix G expands unlearning, and Appendix I checks model size and domain interference. Every appendix object is traceable to a main claim or design contract.","Nimbus Roman No9 L and Computer Modern math dominate PDF text; DejaVu/monospace fonts appear in embedded plots and prompt tables. The outer caption and table hierarchy are stable, but dense 28-panel grids use small embedded labels and mixed font families.","Purple/green condition roles recur across notebook-backed core plots, while MIA and unlearning introduce local categorical palettes. Marker/stroke redundancy is systematic for standard versus perturbed, but five-condition interference plots, timing windows, and prompt highlights are not reliably grayscale-safe."
