paper_id,conference,analysis_stratum,kind,label,page,module,placement,width,purpose,caption_words,caption_moves,caption_headline_bold,caption_self_contained,caption_main_finding,types,panels,series,legend_items,annotations,data_marks_estimate,complexity,font_family,font_family_class,font_size_min,font_size_median,font_size_max,font_weight,font_style,typography_provenance,typography_confidence,color_mode,color_count,palette_hex,color_provenance,redundant_encoding,grayscale_safe,rendering,x_scale,y_scale,grid,legend_present,legend_placement,shared_legend,direct_labels,marker_types,line_styles,hatching,reference_lines,uncertainty_display,line_width_pt,table_rows,table_columns,table_header_levels,table_row_groups,decimal_precision,table_rules,highlighting,table_uncertainty,table_uncertainty_modes
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 1,1,abstract,main,page_width,headline|main_comparison|theory_mechanism,33,title|setup|comparison|main_finding,0,1,1,conceptual_diagram|scatter|line,3,15,0,14,15,4,Nimbus Roman No9 L|DejaVu Sans|Fira Mono|Computer Modern math,times_like_serif,5.5,7.5,12.0,regular|medium|bold,roman|italic|monospace,mixed,medium,mixed,7,#4A83DD|#E3AE24|#EAF0FC|#FFF9E8|#202020|#2BB673|#E34A4A,rendered_estimate,1,0,mixed,linear,linear,none,0,,False,1,1,2,0,0,none,1.0,,,,,,,,,
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 2,3,method,main,page_width,method_interface|experimental_design,13,title|encoding_key,0,1,0,pipeline|conceptual_diagram,1,3,3,12,9,3,DejaVu Sans|Nimbus Roman No9 L|Computer Modern math,times_like_serif,6.0,8.0,11.0,regular|bold,roman,mixed,high,mixed,6,#E99698|#F4CC63|#91BF7C|#202020|#F2F2F2|#FFFFFF,rendered_estimate,1,0,vector,none,none,none,1,top_center,False,1,,1,0,0,none,1.0,,,,,,,,,
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 3,4,method,main,inset,method_interface|experimental_design,41,title|setup|encoding_key|comparison,0,1,0,qualitative_grid|conceptual_diagram,5,5,5,18,30,4,DejaVu Sans|Nimbus Roman No9 L|Computer Modern math,times_like_serif,6.0,8.0,10.0,regular|bold,roman|small_caps,mixed,high,categorical,5,#3D76E6|#F2C34B|#F4F4F4|#111111|#9B6C00,rendered_estimate,1,0,vector,categorical,categorical,none,0,,False,1,,0,0,0,none,0.8,,,,,,,,,
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 4,5,experimental_design,main,page_width,experimental_design|method_interface|reproduction,45,title|setup|encoding_key|comparison,0,1,0,qualitative_grid|conceptual_diagram,6,,0,32,50,5,DejaVu Sans|Nimbus Roman No9 L|Computer Modern math,times_like_serif,5.5,7.0,10.0,regular|medium|bold,roman|italic|monospace,mixed,high,categorical,7,#2D63B8|#DA3232|#E8A41C|#5D9DDB|#E9EEF5|#FFF0C8|#222222,rendered_estimate,1,0,mixed,categorical,categorical,none,0,,False,1,,0,0,0,none,0.8,,,,,,,,,
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 5,7,results,main,page_width,headline|theory_mechanism|mechanism|robustness|ablation,49,title|setup|encoding_key|comparison,0,1,0,box|qualitative_grid|line,3,15,0,35,130,5,Nimbus Roman No9 L|DejaVu Sans|Fira Mono|Computer Modern math,times_like_serif,5.5,7.0,9.0,regular|medium|bold,roman|italic|monospace,mixed,medium,mixed,8,#3577D4|#EFBF3A|#F5CE4B|#79B86D|#E74D4D|#F4F4F4|#222222|#DCE8F8,rendered_estimate,1,0,mixed,categorical,linear,none,0,,False,1,,1,0,0,box,1.0,,,,,,,,,
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 6,18,appendix C,appendix,page_width,method_interface|reproduction,51,title|setup|encoding_key|appendix_pointer,0,1,0,pipeline|conceptual_diagram,5,,0,22,25,4,DejaVu Sans|Nimbus Roman No9 L|Computer Modern math,times_like_serif,5.5,7.0,9.0,regular|bold,roman|italic|monospace,mixed,high,categorical,8,#9BB6D6|#F4C56B|#E4A47E|#A9D9A3|#F4F4F4|#222222|#FFFFFF|#D84A4A,rendered_estimate,1,0,mixed,categorical,categorical,none,0,,False,1,,0,0,0,none,0.8,,,,,,,,,
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 7,21,appendix E,appendix,inset,theory_mechanism|qualitative_evidence,44,title|setup|encoding_key|comparison|main_finding,0,1,1,heatmap|matrix|qualitative_grid|conceptual_diagram,4,,0,20,400,5,Nimbus Roman No9 L|DejaVu Sans|Fira Mono|Computer Modern math,times_like_serif,5.5,7.0,10.0,regular|bold,roman|italic,mixed,high,categorical,6,#3F85EA|#F0B91D|#E94A4A|#F3F3F3|#222222|#DDE8F8,rendered_estimate,1,0,mixed,categorical,categorical,none,0,,False,1,,0,0,0,none,0.7,,,,,,,,,
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 8,23,appendix F.2,appendix,page_width,mechanism|robustness|qualitative_evidence,54,title|setup|encoding_key|comparison|main_finding,0,1,1,line,4,3,1,12,35,4,DejaVu Sans|Nimbus Roman No9 L|Computer Modern math,times_like_serif,5.5,7.0,9.0,regular|bold,roman|italic,mixed,high,categorical,5,#F0A500|#4D82D9|#7DBA6C|#D9D9D9|#222222,rendered_estimate,1,0,vector,categorical,linear,none,1,upper_left in Code panel,False,1,,2,0,2,none,0.8,,,,,,,,,
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 9,24,appendix F.3,appendix,inset,mechanism|qualitative_evidence,58,title|setup|encoding_key|uncertainty_definition|main_finding,0,1,1,heatmap|matrix,1,,0,16,36,3,DejaVu Sans|Nimbus Roman No9 L|Computer Modern math,times_like_serif,6.0,8.0,10.0,regular|bold,roman|italic,mixed,high,sequential,6,#E4EFF8|#C1D9EA|#8EC0DE|#5EA4CC|#21558C|#111111,rendered_estimate,1,1,vector,categorical,categorical,none,0,,False,1,,0,0,0,none,0.8,,,,,,,,,
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 10,34,appendix K,appendix,page_width,failure|qualitative_evidence|reproduction,60,title|setup|encoding_key|comparison|main_finding|appendix_pointer,0,1,1,qualitative_grid|screenshot|conceptual_diagram,6,,0,30,6,5,DejaVu Sans|Nimbus Roman No9 L|Computer Modern math,times_like_serif,5.5,7.0,9.0,regular|bold,roman|italic|monospace,mixed,high,categorical,5,#DFF3D9|#F1F1F1|#E84949|#C9E7C0|#222222,rendered_estimate,1,0,mixed,none,none,none,0,,False,1,,1,0,0,none,0.6,,,,,,,,,
iclr-2026-a6ddc629568b,ICLR,outstanding,table,Table 1,7,results,main,page_width,headline|main_comparison|mechanism|robustness,76,title|setup|encoding_key|comparison,1,1,0,table,1,,,,,,Nimbus Roman No9 L|Fira Mono|Computer Modern math,times_like_serif,7.5,7.5,8.0,mixed,,pdf_object,high,mixed,,,,,,,,,,,,,,,,,,,,15,21,2,0,1,booktabs,cell_color,"No mean±SD, interval, rank uncertainty, or repeated-run dispersion is shown; each cell is an averaged performance P.",unclassified
iclr-2026-a6ddc629568b,ICLR,outstanding,table,Table 2,20,appendix D,appendix,inset,robustness|reproduction|qualitative_evidence,30,title|setup|encoding_key,0,1,0,table,1,,,,,,Nimbus Roman No9 L|Fira Mono|Computer Modern math,times_like_serif,7.0,7.0,7.5,mixed,,pdf_object,high,mixed,,,,,,,,,,,,,,,,,,,,5,6,1,3,1,booktabs,cell_color,"No interval, standard error, confidence band, or repeat-level uncertainty is reported.",unclassified
