paper_id,conference,analysis_stratum,sample_cohort,sentence_count,sequence
iclr-2026-8da8f79c49d5,ICLR,oral,foundation_200,10,object_scope → problem_gap → core_idea+method → object_scope+experimental_setup → core_idea+method → method+experimental_setup → experimental_setup → qualitative_result → experimental_setup+qualitative_result → qualitative_result+impact_claim
iclr-2026-ff40de6c7ac1,ICLR,oral,replication_200,9,object_scope → problem_gap → core_idea+method → core_idea+impact_claim → theory+experimental_setup → qualitative_result → qualitative_result+impact_claim → experimental_setup+qualitative_result → impact_claim
iclr-2026-707ee355091a,ICLR,oral,replication_200,7,object_scope → theory+impact_claim → object_scope+problem_gap → core_idea+method+theory → theory+impact_claim → impact_claim → experimental_setup+qualitative_result
iclr-2026-3dfd982128a2,ICLR,oral,replication_200,6,core_idea+method → object_scope+problem_gap → core_idea+method → experimental_setup+quantitative_result+impact_claim → quantitative_result → experimental_setup+quantitative_result+qualitative_result
iclr-2026-82ba4792ed68,ICLR,oral,replication_200,10,object_scope → problem_gap → method+experimental_setup → experimental_setup → method+experimental_setup → impact_claim → qualitative_result → qualitative_result → core_idea+qualitative_result → impact_claim
iclr-2026-b001d2f886cf,ICLR,oral,replication_200,9,object_scope+impact_claim → problem_gap → core_idea+method → method → method+experimental_setup → theory+core_idea → impact_claim → experimental_setup+qualitative_result+impact_claim → impact_claim
iclr-2026-86ded246ec76,ICLR,oral,replication_200,6,object_scope → problem_gap → qualitative_result → theory+qualitative_result → method+qualitative_result → impact_claim
iclr-2026-fac989b896c5,ICLR,oral,foundation_200,7,object_scope+problem_gap → problem_gap+core_idea → core_idea+method → object_scope+method → experimental_setup+method → quantitative_result+qualitative_result → impact_claim
iclr-2026-fb08cee992a1,ICLR,oral,replication_200,11,object_scope → problem_gap → core_idea+method → method+impact_claim → core_idea → problem_gap+limitation → method+core_idea → method → experimental_setup+qualitative_result+impact_claim → impact_claim → impact_claim
iclr-2026-4f0f02a727a0,ICLR,oral,foundation_200,8,object_scope → problem_gap → core_idea+method → method+core_idea → method+qualitative_result → experimental_setup+qualitative_result+quantitative_result → qualitative_result+impact_claim → impact_claim
iclr-2026-a60437a1dcad,ICLR,oral,foundation_200,11,object_scope → object_scope → impact_claim → problem_gap → core_idea → problem_gap → problem_gap → core_idea+method → method → quantitative_result+qualitative_result → impact_claim
iclr-2026-fdf9a5fa8f55,ICLR,oral,foundation_200,11,object_scope → problem_gap → problem_gap+object_scope → core_idea+method → method+quantitative_result → object_scope+qualitative_result → object_scope+qualitative_result → qualitative_result+impact_claim → method → experimental_setup+quantitative_result+qualitative_result → impact_claim
iclr-2026-e17153a60ea0,ICLR,oral,foundation_200,9,object_scope → object_scope → problem_gap → problem_gap → core_idea+method → method → method → qualitative_result → impact_claim
iclr-2026-557a29cfb5fa,ICLR,oral,replication_200,8,object_scope+core_idea → object_scope+experimental_setup → problem_gap+limitation → core_idea+method → method+core_idea → quantitative_result+qualitative_result → qualitative_result+impact_claim → impact_claim
iclr-2026-87e3cec2f574,ICLR,oral,foundation_200,6,object_scope → problem_gap+core_idea → method+theory → theory → theory+core_idea → experimental_setup+qualitative_result+impact_claim
iclr-2026-023366ecf605,ICLR,oral,foundation_200,8,object_scope+impact_claim → problem_gap → core_idea+method+quantitative_result → method+experimental_setup → qualitative_result → quantitative_result → quantitative_result+impact_claim → impact_claim
iclr-2026-4019795d726c,ICLR,oral,foundation_200,9,object_scope+impact_claim → object_scope → problem_gap+qualitative_result → problem_gap+core_idea → core_idea+method → method+core_idea → theory+qualitative_result → experimental_setup+quantitative_result → impact_claim
iclr-2026-f63ee6bf1935,ICLR,oral,replication_200,11,object_scope → problem_gap → qualitative_result+object_scope → limitation → problem_gap → core_idea → core_idea+method+qualitative_result → problem_gap+core_idea+method → quantitative_result+impact_claim → impact_claim → impact_claim
iclr-2026-f34826d49cba,ICLR,oral,foundation_200,4,object_scope+problem_gap → core_idea+method+theory → method+theory → experimental_setup+qualitative_result+impact_claim
iclr-2026-d99017a21fe7,ICLR,oral,foundation_200,10,object_scope → problem_gap → core_idea+object_scope → quantitative_result → method → method+core_idea → method → experimental_setup+quantitative_result → qualitative_result+impact_claim+object_scope → method
iclr-2026-159f6b7208d5,ICLR,oral,foundation_200,9,object_scope → problem_gap → problem_gap+core_idea → object_scope+core_idea → theory+core_idea → method+theory+impact_claim → method+experimental_setup → impact_claim → experimental_setup
iclr-2026-df99a0fdd618,ICLR,oral,foundation_200,7,object_scope+impact_claim → problem_gap → core_idea+method → method+qualitative_result+impact_claim → problem_gap+method+experimental_setup → method+experimental_setup+impact_claim → quantitative_result+qualitative_result+impact_claim
iclr-2026-421310926c11,ICLR,oral,foundation_200,8,object_scope+problem_gap → problem_gap+core_idea+method → object_scope+method → method+core_idea → object_scope+limitation → experimental_setup+qualitative_result → experimental_setup+qualitative_result+impact_claim → impact_claim
iclr-2026-99e6f2b9fab2,ICLR,oral,foundation_200,12,object_scope+impact_claim → problem_gap → problem_gap → core_idea+method → core_idea+method → method+experimental_setup → problem_gap+qualitative_result → method+qualitative_result → method → method+core_idea → quantitative_result+qualitative_result+impact_claim → impact_claim
iclr-2026-de09352af556,ICLR,oral,foundation_200,7,object_scope → object_scope+method+qualitative_result → problem_gap+limitation → core_idea+method → core_idea+method+theory → method+theory → experimental_setup+qualitative_result+impact_claim
iclr-2026-2a0b369c60a9,ICLR,oral,foundation_200,7,object_scope → problem_gap → core_idea+method → qualitative_result → theory+method+limitation → experimental_setup+qualitative_result+impact_claim → impact_claim
iclr-2026-6962fe3d904f,ICLR,oral,foundation_200,10,object_scope → problem_gap+object_scope → qualitative_result+problem_gap → qualitative_result+limitation → core_idea+qualitative_result → problem_gap+core_idea → qualitative_result+object_scope → problem_gap+limitation → method+theory → experimental_setup+quantitative_result+impact_claim
iclr-2026-927309b0632d,ICLR,oral,foundation_200,7,object_scope+problem_gap → core_idea+method+theory → object_scope+method → problem_gap+limitation → core_idea+method+theory → quantitative_result+qualitative_result+impact_claim → impact_claim
iclr-2026-ee69851b0726,ICLR,oral,foundation_200,8,object_scope → problem_gap → core_idea → method+core_idea → method+theory → experimental_setup → quantitative_result+qualitative_result+impact_claim → impact_claim
iclr-2026-d930d9c23cc7,ICLR,oral,foundation_200,10,object_scope+problem_gap → problem_gap → core_idea+theory → object_scope+method → problem_gap → core_idea+method → method+experimental_setup+quantitative_result → method+experimental_setup+quantitative_result → method → qualitative_result+impact_claim
iclr-2026-ddc69d973093,ICLR,oral,foundation_200,8,object_scope → problem_gap → core_idea → method → theory+qualitative_result → problem_gap+qualitative_result → quantitative_result+qualitative_result → core_idea+impact_claim
iclr-2026-9a1a4fec2317,ICLR,oral,foundation_200,8,object_scope+problem_gap → core_idea+method → problem_gap → core_idea+method → method → method → experimental_setup → quantitative_result+impact_claim
iclr-2026-dc06dcfe9933,ICLR,oral,foundation_200,11,object_scope+method → object_scope+problem_gap → object_scope+theory → problem_gap → problem_gap → theory+problem_gap → core_idea+method → core_idea+theory+method → method+theory+limitation → experimental_setup → quantitative_result+qualitative_result+impact_claim
iclr-2026-c4f15a7f203b,ICLR,oral,foundation_200,11,object_scope → object_scope+problem_gap → problem_gap+impact_claim → problem_gap → problem_gap+limitation → core_idea+method → core_idea+method+theory+impact_claim → theory → experimental_setup+qualitative_result+impact_claim → core_idea+method+impact_claim → impact_claim
iclr-2026-9800a26d2608,ICLR,oral,foundation_200,7,object_scope+problem_gap → problem_gap → object_scope+core_idea → theory+core_idea → theory+qualitative_result → qualitative_result+impact_claim → method+experimental_setup+qualitative_result+impact_claim
iclr-2026-0c8eb54755cf,ICLR,oral,foundation_200,7,object_scope+method+impact_claim → object_scope+method → method+experimental_setup+quantitative_result+qualitative_result → experimental_setup+quantitative_result+qualitative_result → qualitative_result+impact_claim → qualitative_result+impact_claim → method+qualitative_result+impact_claim
iclr-2026-c9604bfa6042,ICLR,oral,foundation_200,10,object_scope+method → method+problem_gap → problem_gap → core_idea+method → theory → core_idea+method → experimental_setup+qualitative_result → qualitative_result+impact_claim → experimental_setup+qualitative_result+impact_claim → impact_claim
iclr-2026-7f071490c87d,ICLR,oral,foundation_200,7,object_scope → problem_gap → core_idea+method+object_scope → problem_gap → method → method → qualitative_result
iclr-2026-2a842dd4a787,ICLR,oral,foundation_200,6,object_scope+problem_gap+qualitative_result → problem_gap+core_idea+impact_claim → theory+qualitative_result → core_idea+method → method+core_idea → experimental_setup+quantitative_result+impact_claim
iclr-2026-62e38d16d6a3,ICLR,oral,foundation_200,7,object_scope+problem_gap+limitation → problem_gap+limitation → core_idea+method → method+core_idea → method+qualitative_result → experimental_setup+quantitative_result+impact_claim → qualitative_result+impact_claim
iclr-2026-b879ca6dd1a4,ICLR,oral,foundation_200,9,object_scope → object_scope+method → core_idea+theory → theory → theory+limitation → theory+method → experimental_setup+qualitative_result → impact_claim+qualitative_result → impact_claim
iclr-2026-3c7fde53bdb5,ICLR,oral,foundation_200,7,object_scope → problem_gap → core_idea → theory+method → method → quantitative_result+qualitative_result → qualitative_result+impact_claim
iclr-2026-64b7228ce25e,ICLR,oral,foundation_200,11,object_scope → problem_gap → problem_gap+core_idea → core_idea → core_idea+theory+limitation → core_idea+theory → method+core_idea → method+qualitative_result → experimental_setup+qualitative_result → experimental_setup+quantitative_result+impact_claim → impact_claim
iclr-2026-9d74a65ca00d,ICLR,oral,foundation_200,6,object_scope → problem_gap+qualitative_result → problem_gap → core_idea+method+experimental_setup+theory → theory+quantitative_result+impact_claim → impact_claim
iclr-2026-c6856f20a2f5,ICLR,oral,foundation_200,5,object_scope+problem_gap → problem_gap+limitation → core_idea+method → method+impact_claim → qualitative_result+impact_claim
iclr-2026-3f0f7132b565,ICLR,oral,foundation_200,9,object_scope+problem_gap → problem_gap → core_idea+method → core_idea+method → method+qualitative_result → experimental_setup+quantitative_result → experimental_setup+quantitative_result → method+qualitative_result+impact_claim → impact_claim
iclr-2026-eb4983c11917,ICLR,oral,foundation_200,12,object_scope+problem_gap → object_scope+qualitative_result → core_idea+object_scope → method+qualitative_result → qualitative_result+impact_claim → qualitative_result+limitation → qualitative_result → method+impact_claim → experimental_setup+quantitative_result → method+experimental_setup+impact_claim → impact_claim+qualitative_result → impact_claim
iclr-2026-9731e2f39bcc,ICLR,oral,foundation_200,10,object_scope → problem_gap+object_scope → core_idea+method → method → problem_gap → core_idea+method → method+limitation → experimental_setup+quantitative_result → qualitative_result → qualitative_result+impact_claim
iclr-2026-f37e773ebaa6,ICLR,oral,foundation_200,6,object_scope+problem_gap → method → problem_gap → core_idea+method+theory → quantitative_result+experimental_setup → impact_claim
iclr-2026-247f0a285827,ICLR,oral,foundation_200,11,object_scope → problem_gap → core_idea+method → core_idea+method → method+object_scope → qualitative_result+core_idea → quantitative_result+method+impact_claim → quantitative_result → quantitative_result+impact_claim → quantitative_result+qualitative_result → impact_claim
iclr-2026-d548949c4ba4,ICLR,oral,foundation_200,11,object_scope+impact_claim → problem_gap → problem_gap → core_idea+method → method → object_scope+method → method → qualitative_result → quantitative_result → qualitative_result → impact_claim
iclr-2026-b22813abf7f0,ICLR,oral,foundation_200,4,object_scope+problem_gap → core_idea+method → method → experimental_setup+quantitative_result+qualitative_result+impact_claim
iclr-2026-b7a66e10bf69,ICLR,oral,replication_200,9,object_scope → problem_gap+method → problem_gap+limitation → problem_gap+core_idea → core_idea+method → core_idea+qualitative_result → method → experimental_setup → experimental_setup+qualitative_result+impact_claim
iclr-2026-dba10825e0af,ICLR,oral,foundation_200,6,object_scope → problem_gap → core_idea+method → method → quantitative_result → theory+impact_claim
iclr-2026-009a09dc4347,ICLR,oral,foundation_200,10,object_scope → problem_gap → core_idea → problem_gap+theory → core_idea+method → method → theory+impact_claim → experimental_setup+qualitative_result → impact_claim → impact_claim
iclr-2026-fd78f005be2e,ICLR,oral,foundation_200,10,object_scope+problem_gap → object_scope+problem_gap → problem_gap → core_idea+method → method → theory → method+experimental_setup+quantitative_result → experimental_setup+qualitative_result+impact_claim → quantitative_result+impact_claim → impact_claim
iclr-2026-963229d0140f,ICLR,oral,foundation_200,5,object_scope+problem_gap → core_idea+method+experimental_setup → qualitative_result+impact_claim → qualitative_result+impact_claim → impact_claim
iclr-2026-a52a988a4775,ICLR,oral,foundation_200,10,object_scope+problem_gap → problem_gap+limitation → core_idea+method → method+object_scope → core_idea+theory+impact_claim → method → method → theory+qualitative_result → core_idea+theory+method → method+theory+qualitative_result
iclr-2026-3c3e3a191645,ICLR,oral,foundation_200,7,object_scope+experimental_setup → problem_gap+limitation → problem_gap+theory → qualitative_result+problem_gap → core_idea+method → method+theory → experimental_setup+qualitative_result+impact_claim
iclr-2026-cdc551019493,ICLR,oral,foundation_200,8,object_scope+problem_gap → core_idea+method → method+core_idea → method+core_idea+qualitative_result → method+core_idea+theory → theory → experimental_setup+quantitative_result+qualitative_result+impact_claim → impact_claim
iclr-2026-98752ebdf7d6,ICLR,oral,foundation_200,10,object_scope → problem_gap+limitation → object_scope+core_idea → object_scope+method+experimental_setup → theory+limitation → theory+limitation → method+theory → theory+limitation → theory+impact_claim → experimental_setup+qualitative_result
iclr-2026-f8f364a44221,ICLR,oral,foundation_200,7,object_scope+qualitative_result → problem_gap+limitation → core_idea+object_scope → method+qualitative_result+quantitative_result → core_idea+method+experimental_setup → method+experimental_setup+quantitative_result+impact_claim → impact_claim+limitation
iclr-2026-883c05e1e1dc,ICLR,oral,foundation_200,6,object_scope+impact_claim → problem_gap+limitation → core_idea+method → core_idea+method → theory → experimental_setup+qualitative_result+impact_claim
iclr-2026-05937b7dc737,ICLR,oral,foundation_200,8,object_scope+problem_gap → problem_gap+qualitative_result → problem_gap+limitation → core_idea+method+theory → experimental_setup+qualitative_result → impact_claim+qualitative_result → quantitative_result+impact_claim+theory → impact_claim
iclr-2026-061ba26bb9ff,ICLR,oral,foundation_200,8,object_scope → problem_gap+impact_claim → object_scope+core_idea → method+theory+object_scope → core_idea+theory+quantitative_result → theory+experimental_setup+qualitative_result → quantitative_result+limitation → quantitative_result+limitation
iclr-2026-49937f5dcda4,ICLR,oral,foundation_200,8,object_scope+problem_gap → problem_gap+impact_claim → problem_gap → core_idea+method → method+theory → quantitative_result+qualitative_result → experimental_setup+quantitative_result+qualitative_result → impact_claim
iclr-2026-7c24d2356ca5,ICLR,oral,foundation_200,6,object_scope → problem_gap → core_idea+method → method → core_idea+method → experimental_setup+qualitative_result+impact_claim
iclr-2026-12331806f03c,ICLR,oral,foundation_200,10,object_scope → problem_gap → object_scope → core_idea+method → method → qualitative_result+impact_claim → experimental_setup+quantitative_result → experimental_setup+quantitative_result → quantitative_result → qualitative_result
iclr-2026-a2b879220593,ICLR,oral,foundation_200,10,object_scope → problem_gap → object_scope+problem_gap → problem_gap → theory+method → problem_gap → core_idea+method → qualitative_result+impact_claim → method+impact_claim → experimental_setup+qualitative_result+impact_claim
