paper_id,conference,analysis_stratum,sample_cohort,figures,tables,visual_objects,caption_found,caption_coverage,caption_words_mean,caption_words_median,caption_headline_bold_share,caption_setup_share,caption_encoding_key_share,caption_main_finding_share,caption_uncertainty_share,internal_font_size_median,dominant_palette_hex,color_object_share,single_column_share,page_or_double_width_share,pdf_fonts
iclr-2026-009a09dc4347,ICLR,oral,foundation_200,1,9,10,10,1.0,56.6,60.0,0.1,0.6,0.0,0.2,0.1,8.814,#FFF2CC|#D5E8D4|#AFB48F|#D5E4F9|#E6D39E|#FEF1CB|#73766E|#BCD1BB,0.1,0.2,0.6,Arial-BoldMT|ArialMT|CMBX10|CMEX10|CMEX7|CMEX9|CMMI10|CMMI5|CMMI6|CMMI7|CMMI9|CMMIB10|CMMIB7|CMR10|CMR5|CMR6|CMR7|CMR9|CMSY10|CMSY5|CMSY6|CMSY7|CMSY9|Dingbats|MSAM7|MSBM10|MSBM5|MSBM7|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|SegoeUIEmoji
iclr-2026-0111e4fa230c,ICLR,oral,replication_200,15,8,23,23,1.0,27.739,22.0,0.304348,0.391304,0.086957,0.173913,0.043478,7.472,#87CEEB|#8DD3C7|#95C3D6|#2C303E|#E0F7ED|#A1D7D7|#48A6B8|#FCDAC4,0.565217,0.217391,0.73913,CMMI10|CMMI6|CMMI7|CMR10|CMR7|CMSY10|CMSY6|CMSY7|CMSY9|DejaVuSans|DejaVuSans-Bold|NimbusMonL-Bold|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|SFTT0900
iclr-2026-023366ecf605,ICLR,oral,foundation_200,25,9,34,34,1.0,30.176,16.5,0.0,0.529412,0.058824,0.176471,0.029412,7.447,#8A80C9|#FFF7EC|#D98080|#3CAAA5|#789DCA|#C4D8F0|#74A9C7|#7990D2,0.5,0.323529,0.647059,ArialMT|CMMI10|CMMI6|CMR10|CMSY10|CMSY6|CMSY7|DejaVuSans|Dingbats|LinLibertineO|MS-PGothic|MesloLGLNerdFontComplete-Italic|MesloLGLNerdFontComplete-Regular|NimbusMonL-Bold|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|Nunito-Bold|Nunito-Medium|Nunito-Regular|Nunito-SemiBold|SFTT0800
iclr-2026-05937b7dc737,ICLR,oral,foundation_200,2,8,10,10,1.0,20.1,20.0,0.1,0.7,0.0,0.2,0.1,8.281,#D3DDF1|#96ABD2|#FEE8A9|#6A7DAC|#FE5B79|#D0DAEE|#DAE3F3|#C9C0D0,0.1,0.3,0.7,CMBX10|CMBX7|CMEX10|CMEX9|CMMI10|CMMI5|CMMI6|CMMI7|CMMI9|CMMIB10|CMMIB7|CMMIB9|CMR10|CMR5|CMR6|CMR7|CMR9|CMSY10|CMSY5|CMSY6|CMSY7|CMSY9|Calibri|MSBM10|NimbusMonL-Regu|NimbusMonL-ReguObli|NimbusRomNo9L-Medi|NimbusRomNo9L-MediItal|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|PalatinoLinotype-Bold|PalatinoLinotype-Roman|SymbolMT|TimesNewRomanPS-BoldItalicMT|TimesNewRomanPS-ItalicMT|TimesNewRomanPSMT
iclr-2026-061ba26bb9ff,ICLR,oral,foundation_200,10,0,10,10,1.0,43.0,28.5,0.0,0.0,0.5,0.4,0.0,9.963,#DCDCFF|#7676FE|#FFDCDC|#FF7070|#FE5252|#5A5AFF|#F6959C|#F6E5EE,1.0,0.1,0.9,CMBSY10|CMBSY7|CMBX10|CMBX7|CMEX10|CMEX7|CMMI10|CMMI12|CMMI5|CMMI6|CMMI7|CMMI9|CMMIB10|CMMIB7|CMMIB9|CMR10|CMR5|CMR6|CMR7|CMR9|CMSY10|CMSY5|CMSY6|CMSY7|CMSY8|CMSY9|MSBM10|MSBM7|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal
iclr-2026-0853a1e684f7,ICLR,oral,replication_200,13,6,19,19,1.0,38.158,34.0,1.0,0.578947,0.526316,0.157895,0.0,9.963,#452817|#CCA570|#7F7C64|#764023|#995F37|#6F5D49|#B0845E|#424D4D,0.684211,0.210526,0.736842,CMMI10|CMR10|CMR7|CMSY10|CMSY6|CMSY7|CMSY9|HelveticaNeue|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal
iclr-2026-09d94b8d6d44,ICLR,oral,foundation_200,47,1,48,48,1.0,25.104,7.0,0.020833,0.125,0.104167,0.083333,0.020833,5.397,#B6D7A8|#6FA8DC|#76EAB6|#D63192|#EA9999|#EE1F23|#D63293|#ACF2D3,0.916667,0.666667,0.333333,Arial-BoldMT|ArialMT|CMMI10|CMMI5|CMMI7|CMR10|CMR5|CMR7|CMSY10|CMSY7|CourierNew-Bold|DejaVuSans|DejaVuSans-Bold|DejaVuSans-Oblique|MSBM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|OpenSans-Bold
iclr-2026-0aa8e3fa3f6d,ICLR,oral,foundation_200,10,2,12,12,1.0,57.75,35.5,0.0,0.833333,0.25,0.5,0.083333,7.425,#F6C6AD|#609DC8|#A5C7DF|#8CB9D8|#5195C4|#BFD8E9|#2F80B8|#D3E4EF,0.833333,0.083333,0.916667,Aptos|Aptos-Bold|Aptos-Italic|CMEX10|CMEX7|CMMI10|CMMI5|CMMI7|CMMIB10|CMMIB7|CMR10|CMR5|CMR7|CMR9|CMSY10|CMSY5|CMSY7|CambriaMath|DejaVuSans|LucidaConsole|MSBM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-MediItal|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|TimesNewRomanPS-BoldMT
iclr-2026-0b114f73a492,ICLR,oral,foundation_200,18,15,33,33,1.0,47.515,26.0,0.0,0.424242,0.030303,0.242424,0.0,8.63,#D5E8D4|#FFF4EA|#DAE8FC|#ACD566|#89A077|#917562|#556344|#BFC0B3,0.757576,0.212121,0.393939,CMBX10|CMEX10|CMMI10|CMMI5|CMMI7|CMMI9|CMR10|CMR5|CMR7|CMR9|CMSY10|CMSY5|CMSY6|CMSY7|DejaVuSans|Helvetica|Helvetica-Bold|MSBM10|NimbusMonL-Regu|NimbusRomNo9L-Medi|NimbusRomNo9L-MediItal|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|TimesNewRomanPS-BoldMT|TimesNewRomanPS-ItalicMT|TimesNewRomanPSMT
iclr-2026-0c8eb54755cf,ICLR,oral,foundation_200,23,15,38,38,1.0,54.579,51.5,0.842105,0.657895,0.184211,0.394737,0.0,7.834,#A6DBA0|#1B7837|#C2A5CF|#9CCEA0|#C6ABD1|#A7DBA1|#E6E6FA|#D8EBD7,0.657895,0.131579,0.842105,CMMI10|CMMI9|CMR10|CMR6|CMR9|CMSY10|CMSY6|CMSY7|CMSY9|Consolas|DMMono-Light|DejaVuSans|DejaVuSerif|NimbusRomNo9L-Medi|NimbusRomNo9L-Regu|NimbusRomNo9L-ReguItal|TimesNewRomanPSMT|txtt
