rank,sequence,papers,paper_share,example_paper_ids
1,object_scope -> problem_gap -> core_idea -> method -> qualitative_result -> impact_claim,5,0.02,iclr-2026-8148e4ce6cb5|iclr-2026-987dd9468fc4|iclr-2026-e17153a60ea0|icml-2026-1dfcf4c8869d|iclr-2026-8374ca36d622
2,object_scope -> problem_gap -> core_idea -> method -> experimental_setup -> qualitative_result -> impact_claim,4,0.016,iclr-2026-106be5e431a2|iclr-2026-4d1471a91635|icml-2026-4d6c3bd9ff61|icml-2026-f46849c406ca
3,object_scope -> problem_gap -> method -> core_idea -> method -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,2,0.008,iclr-2026-0b114f73a492|icml-2026-1c5182bdf0c8
4,object_scope -> theory -> qualitative_result -> theory -> qualitative_result -> theory -> qualitative_result -> impact_claim,1,0.004,iclr-2026-88c6c50ec3eb
5,object_scope -> impact_claim -> problem_gap -> method -> experimental_setup -> quantitative_result -> method -> quantitative_result -> core_idea -> qualitative_result -> core_idea -> impact_claim,1,0.004,iclr-2026-a6ddc629568b
6,object_scope -> problem_gap -> core_idea -> problem_gap -> theory -> core_idea -> method -> theory -> impact_claim -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-009a09dc4347
7,object_scope -> impact_claim -> problem_gap -> core_idea -> method -> quantitative_result -> method -> experimental_setup -> qualitative_result -> quantitative_result -> impact_claim,1,0.004,iclr-2026-023366ecf605
8,object_scope -> problem_gap -> qualitative_result -> problem_gap -> limitation -> core_idea -> method -> theory -> experimental_setup -> qualitative_result -> impact_claim -> qualitative_result -> quantitative_result -> impact_claim -> theory -> impact_claim,1,0.004,iclr-2026-05937b7dc737
9,object_scope -> problem_gap -> impact_claim -> object_scope -> core_idea -> method -> theory -> object_scope -> core_idea -> theory -> quantitative_result -> theory -> experimental_setup -> qualitative_result -> quantitative_result -> limitation -> quantitative_result -> limitation,1,0.004,iclr-2026-061ba26bb9ff
10,object_scope -> problem_gap -> object_scope -> problem_gap -> theory -> problem_gap -> object_scope -> core_idea -> method -> qualitative_result -> limitation -> impact_claim -> qualitative_result,1,0.004,iclr-2026-09d94b8d6d44
11,object_scope -> impact_claim -> theory -> problem_gap -> core_idea -> theory -> method -> impact_claim -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-0aa8e3fa3f6d
12,object_scope -> method -> impact_claim -> object_scope -> method -> experimental_setup -> quantitative_result -> qualitative_result -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim -> qualitative_result -> impact_claim -> method -> qualitative_result -> impact_claim,1,0.004,iclr-2026-0c8eb54755cf
13,object_scope -> method -> object_scope -> qualitative_result -> impact_claim -> core_idea -> method -> core_idea -> method -> theory -> qualitative_result -> experimental_setup -> quantitative_result -> qualitative_result -> experimental_setup -> quantitative_result -> impact_claim,1,0.004,iclr-2026-0e6979a1fd18
14,object_scope -> problem_gap -> object_scope -> method -> core_idea -> method -> impact_claim -> core_idea -> method -> object_scope -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-0f7ec564e69d
15,object_scope -> problem_gap -> object_scope -> core_idea -> method -> qualitative_result -> impact_claim -> experimental_setup -> quantitative_result -> experimental_setup -> quantitative_result -> qualitative_result,1,0.004,iclr-2026-12331806f03c
16,object_scope -> problem_gap -> core_idea -> object_scope -> core_idea -> theory -> core_idea -> method -> theory -> impact_claim -> method -> experimental_setup -> impact_claim -> experimental_setup,1,0.004,iclr-2026-159f6b7208d5
17,object_scope -> problem_gap -> core_idea -> method -> core_idea -> method -> object_scope -> qualitative_result -> core_idea -> quantitative_result -> method -> impact_claim -> quantitative_result -> impact_claim -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-247f0a285827
18,object_scope -> problem_gap -> limitation -> object_scope -> problem_gap -> core_idea -> problem_gap -> core_idea -> object_scope -> core_idea -> method -> core_idea -> experimental_setup -> quantitative_result -> experimental_setup -> quantitative_result -> experimental_setup -> qualitative_result -> method -> qualitative_result -> impact_claim,1,0.004,iclr-2026-24987e898413
19,object_scope -> core_idea -> method -> problem_gap -> core_idea -> theory -> quantitative_result -> experimental_setup -> quantitative_result -> impact_claim,1,0.004,iclr-2026-255bea54f97f
20,object_scope -> problem_gap -> core_idea -> method -> qualitative_result -> theory -> method -> limitation -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-2a0b369c60a9
21,object_scope -> problem_gap -> qualitative_result -> problem_gap -> core_idea -> impact_claim -> theory -> qualitative_result -> core_idea -> method -> core_idea -> experimental_setup -> quantitative_result -> impact_claim,1,0.004,iclr-2026-2a842dd4a787
22,object_scope -> qualitative_result -> problem_gap -> limitation -> core_idea -> method -> impact_claim -> core_idea -> qualitative_result -> method -> core_idea -> method -> theory -> method -> qualitative_result -> experimental_setup -> quantitative_result -> impact_claim,1,0.004,iclr-2026-2f4f189e96a1
23,object_scope -> core_idea -> experimental_setup -> problem_gap -> method -> object_scope -> method -> core_idea -> experimental_setup -> object_scope -> method -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-31327f1d20e6
24,object_scope -> problem_gap -> method -> core_idea -> method -> quantitative_result -> experimental_setup -> quantitative_result -> impact_claim,1,0.004,iclr-2026-322bd0a9b17a
25,object_scope -> problem_gap -> limitation -> core_idea -> experimental_setup -> method -> core_idea -> method -> experimental_setup -> qualitative_result -> limitation -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-3b8d372687ad
26,object_scope -> experimental_setup -> problem_gap -> limitation -> problem_gap -> theory -> qualitative_result -> problem_gap -> core_idea -> method -> theory -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-3c3e3a191645
27,object_scope -> problem_gap -> core_idea -> theory -> method -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-3c7fde53bdb5
28,object_scope -> problem_gap -> core_idea -> method -> core_idea -> method -> qualitative_result -> experimental_setup -> quantitative_result -> experimental_setup -> quantitative_result -> method -> qualitative_result -> impact_claim,1,0.004,iclr-2026-3f0f7132b565
29,object_scope -> impact_claim -> object_scope -> problem_gap -> qualitative_result -> problem_gap -> core_idea -> method -> core_idea -> theory -> qualitative_result -> experimental_setup -> quantitative_result -> impact_claim,1,0.004,iclr-2026-4019795d726c
30,object_scope -> problem_gap -> core_idea -> method -> object_scope -> method -> core_idea -> object_scope -> limitation -> experimental_setup -> qualitative_result -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-421310926c11
31,object_scope -> problem_gap -> impact_claim -> problem_gap -> core_idea -> method -> theory -> quantitative_result -> qualitative_result -> experimental_setup -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-49937f5dcda4
32,object_scope -> problem_gap -> core_idea -> method -> experimental_setup -> quantitative_result -> method -> experimental_setup -> method -> experimental_setup -> qualitative_result -> impact_claim,1,0.004,iclr-2026-4d615382a559
33,object_scope -> problem_gap -> core_idea -> method -> core_idea -> method -> qualitative_result -> experimental_setup -> qualitative_result -> quantitative_result -> qualitative_result -> impact_claim,1,0.004,iclr-2026-4f0f02a727a0
34,object_scope -> problem_gap -> limitation -> problem_gap -> limitation -> core_idea -> method -> core_idea -> method -> qualitative_result -> experimental_setup -> quantitative_result -> impact_claim -> qualitative_result -> impact_claim,1,0.004,iclr-2026-62e38d16d6a3
35,object_scope -> problem_gap -> core_idea -> theory -> limitation -> core_idea -> theory -> method -> core_idea -> method -> qualitative_result -> experimental_setup -> qualitative_result -> experimental_setup -> quantitative_result -> impact_claim,1,0.004,iclr-2026-64b7228ce25e
36,object_scope -> problem_gap -> object_scope -> qualitative_result -> problem_gap -> qualitative_result -> limitation -> core_idea -> qualitative_result -> problem_gap -> core_idea -> qualitative_result -> object_scope -> problem_gap -> limitation -> method -> theory -> experimental_setup -> quantitative_result -> impact_claim,1,0.004,iclr-2026-6962fe3d904f
