paper_id,conference,analysis_stratum,kind,module,label,page,purpose
iclr-2026-8da8f79c49d5,ICLR,oral,figure,experimental_design,Figure 1,1,总览3层级、10主类、5子类、7场景与3种prompt variation。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,results,Figure 2,2,以条形图预告12模型physics success percentage及Pika/Wanx领先者。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,experimental_design,Figure 3,4,展示类别、prompt、evaluation standard的三阶段human-in-the-loop流程。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,experimental_design,Figure 4,4,用rocket示例对比Event、Physics-enhanced、Detailed三种提示。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,experimental_design,Figure 5,6,把Basic/Key Standards映射为object、event与physics的Yes/No判断。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,method,Figure 6,6,用帧例说明context-aware prompt减少MLLM对生成视频的合理化。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 7,14,展示Amazon Mechanical Turk标注界面。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 8,20,列出Sora-Turbo的五类物理违规案例。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 9,21,列出Gen-3的五类物理违规案例。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 10,22,列出Kling-1.6的反重力、尺度、跌落等失败。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 11,23,列出Pika 2.0的浮空、无接触、形变等失败。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 12,24,列出Luma的运动方向、phasing与异常形变。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 13,25,列出Hunyuan 720p的anti-physics、碰撞与剪切失败。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 14,26,列出Open-Sora的anti-physics、照明、碰撞和平衡失败。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 15,27,列出Open-Sora-Plan 1.3的光束、阴影、滚动和人体失败。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 16,28,列出CogVideoX-1.5的时间反转、尺度、摩擦和人体失败。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 17,29,列出LTX-Video的自发运动、稳定性、抛体和粒子失败。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 18,30,列出Wanx-2.1的弹性、穿插、浮力与塑性失败。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 19,31,列出Step-Video-T2V的光学、弹性、尺度与anti-physics失败。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 20,33,展示Sora在多对象提示上的两例失败。
iclr-2026-8da8f79c49d5,ICLR,oral,figure,appendix,Figure 21,34,用示例帧重述10类别与3物理层级的数据结构。
iclr-2026-8da8f79c49d5,ICLR,oral,table,experimental_design,Table 1,5,比较5个physics-focused benchmark的类别与prompt数量。
iclr-2026-8da8f79c49d5,ICLR,oral,table,ablation,Table 2,7,比较4个MLLM、CAP及去CoT/去Context的SA与PC ROC-AUC。
iclr-2026-8da8f79c49d5,ICLR,oral,table,results,Table 3,8,给出12模型在Fundamental、Composite、Anti-Physics及Overall的SA/PC/Both。
iclr-2026-8da8f79c49d5,ICLR,oral,table,ablation,Table 4,9,比较7个开源模型在三种prompt type下的physics-following percentage。
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 5,15,补充自动评估器的ROC-AUC、precision与recall。
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 6,15,展示CAP对不同MLLM的ROC-AUC增益。
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 7,16,给出CAP对12个视频生成模型的SA/PC/Both。
iclr-2026-8da8f79c49d5,ICLR,oral,table,appendix,Table 8,17,比较Cosmos与CogVideo同架构不同规模的physics performance。
