paper_id,conference,title,discovery_status,discovered_repository,discovery_method,discovery_evidence,default_branch,candidate_repositories,candidate_scores,search_repositories,visual_source_files,best_pdf_context,text_path
iclr-2026-009a09dc4347,ICLR,Multiplayer Nash Preference Optimization,repository_without_visual_source,smiles724/MNPO,explicit_pdf_url,"metadata_title_exact=0; readme_title_exact=1; token_recall=1.000; anchors=nash,optimization,preference; matched=multiplayer,nash,optimization,preference; explicit_code_context=1",main,smiles724/MNPO|modelscope/evalscope|princeton-nlp/SimPO|uclaml/SPPO|lm-sys/FastChat,14|0|0|0|-4,,,"ditions and mixed-policy evaluation scenarios. Together, these results establish MNPO as a principled and scalable framework for aligning LLMs with complex, non-transitive human preferences. Code is available at https:// github.com/smiles724/MNPO. 1 I NTRODUCTION Large language models (LLMs) have achieved remarkable progress in instruction following and open-ended reasoning through reinforcement learning from human feedback (RLHF) (Christiano et al., 2017). Traditional RLHF pipelines built upo",corpus/text/iclr-2026-009a09dc4347.txt
iclr-2026-0111e4fa230c,ICLR,EditBench: Evaluating LLM Abilities to Perform Real-World Instructed Code Edits,no_public_source_found,,,,,waynchi/editbench,5,,,", we find that different levels of contextual information greatly affect task success rate, with performance varying up to 8%, indicating the importance of evaluating with realistic context. Github Repo https://github.com/waynchi/editbench Leaderboard https://waynechi.com/edit-bench/ 1 I NTRODUCTION Software developers increasingly write code with AI assistants such as Github Copilot (Github, 2022), Cursor (Cursor, 2023), and Continue (Continue Dev, 2025) using a",corpus/text/iclr-2026-0111e4fa230c.txt
iclr-2026-023366ecf605,ICLR,CyberGym: Evaluating AI Agents' Real-World Cybersecurity Capabilities at Scale,repository_without_visual_source,sunblaze-ucb/cybergym,github_title_search_verified,"metadata_title_exact=0; readme_title_exact=1; token_recall=1.000; anchors=cybergym; matched=agents,capabilities,cybergym,cybersecurity,evaluating,real,scale,world",main,anthropics/cl|curl/curl|opencv/op|openssl/openssl|OSGeo/gdal,0|0|0|0|0,sunblaze-ucb/cybergym|synchopate/cybergym-logos|rafska/awesome-local-llm|Ashfaaq98/awesome-genai-cyberhub|hzysvilla/Agent4Pentest_Survey,,"#max-tokens-and-context-windo w-size-with-extended-thinking, a. Accessed: 2025-05-24. Anthropic. Claude 3.7 sonnet and claude code. https://www.anthropic.com/news/cla ude-3-7-sonnet, b. Accessed: 2025-05-10. Anthropic. Claude code: An agentic coding tool. https://github.com/anthropics/cl aude-code. Accessed: 2025-09-15. Anthropic. System card: Claude opus 4.5. https://www.anthropic.com/claude-opu s-4-5-system-card, a. Accessed: 2026-02-28. Anthropic. System card: Claude opus 4.6. https://www.anthropic.com/claude-opu s-4-6-system-card, b",corpus/text/iclr-2026-023366ecf605.txt
iclr-2026-05937b7dc737,ICLR,Overcoming Joint Intractability with Lossless Hierarchical Speculative Decoding,exact_visual_source,ZhouYuxuanYX/Hierarchical-Speculative-Decoding,explicit_pdf_url,"metadata_title_exact=0; readme_title_exact=1; token_recall=1.000; anchors=decoding,hierarchical,lossless,speculative; matched=decoding,hierarchical,intractability,joint,lossless,overcoming,speculative; explicit_code_context=1",main,ZhouYuxuanYX/Hierarchical-Speculative-Decoding,23,,chain-of-thought-hub/notebooks/visualization.ipynb,"culative decoding frameworks. Notably, integrating HSD into EAGLE-3 yields over a 12% performance gain, establishing state-of-the-art de- coding efficiency without compromising distribution fidelity. Code is available at https://github.com/ZhouYuxuanYX/Hierarchical-Speculative-Decoding. 1 I NTRODUCTION Inference speed has become paramount for Large Language Models (LLMs) (Achiam et al., 2023; Touvron et al., 2023; Bai et al., 2023), which generate text auto-regressively. Recent advances in test-time scaling (OpenAI, 2024; Guo et al.,",corpus/text/iclr-2026-05937b7dc737.txt
iclr-2026-061ba26bb9ff,ICLR,Overparametrization bends the landscape: BBP transitions at initialization in simple Neural Networks,no_public_source_found,,,,,,,,,,corpus/text/iclr-2026-061ba26bb9ff.txt
iclr-2026-0853a1e684f7,ICLR,Instilling an Active Mind in Avatars via Cognitive Simulation,no_public_source_found,,,,,,,,,,corpus/text/iclr-2026-0853a1e684f7.txt
iclr-2026-09d94b8d6d44,ICLR,Visual symbolic mechanisms: Emergent symbol processing in Vision Language Models,no_public_source_found,,,,,,,xzyu02/2952x-25fall-final-project|Yu-Xiaoyan/LLM-Analogical-Reasoning-Survey|junha1125/iclr2026-mllm-papers,,,corpus/text/iclr-2026-09d94b8d6d44.txt
iclr-2026-0aa8e3fa3f6d,ICLR,To Infinity and Beyond: Tool-Use Unlocks Length Generalization in State Space Models,no_public_source_found,,,,,SWE-agent/mini-swe-agent,0,radarFudan/Awesome-state-space-models,,"m well in all settings. Notably, the Transformer-based model outperforms the Mamba SSM for small codebases in the agent distillation setting, achieving over 90% pass rate. However, for larger codebases, beyond the training distribution (both in terms 8 https://github.com/SWE-agent/mini-swe-agent 9 We experimented with applying RoPE scaling when using the Transformer beyond the training context length, both in finetuning and evaluation, and observed mixed results. We report the accuracy for the best choice (with or without RoPE scaling) in each",corpus/text/iclr-2026-0aa8e3fa3f6d.txt
iclr-2026-0b114f73a492,ICLR,ThinKV: Thought-Adaptive KV Cache Compression for Efficient Reasoning Models,no_public_source_found,,,,,triton-lang/triton,0,yueliu1999/Awesome-Efficient-Inference-for-LRMs|hemingkx/Awesome-Efficient-Reasoning|tritrang88/awesome-llm-symbolic-reasoning,,"itting llms for accelerated inference. arXiv preprint arXiv:2403.09636, 2024. Nsight. Nvidia nsight systems. https://developer.nvidia.com/nsight-systems, 2025. Accessed: 2025-09-12. OpenAI. Openai o1. https://openai.com/o1/, 2024. OpenAI. Issue #2522:. https://github.com/triton-lang/triton/issues/2522, 2025. Accessed: 2025-09-21. Emanuel Parzen. On estimation of a probability density function and mode. The annals of mathe- matical statistics, 33(3):1065–1076, 1962. Akshat Ramachandran, Souvik Kundu, and Tushar Krishna. Clamp-vit: Contrast",corpus/text/iclr-2026-0b114f73a492.txt
iclr-2026-0c8eb54755cf,ICLR,Hubble: a Model Suite to Advance the Study of LLM Memorization,partial_visual_source,allegro-lab/hubble,github_title_search_verified,"metadata_title_exact=0; readme_title_exact=1; token_recall=1.000; anchors=hubble; matched=advance,hubble,llm,memorization,study,suite",main,aflah02/TokenSmith|eleutherai/gpt-neox|swiss-ai/apertus-tech-report,0|0|0,allegro-lab/hubble|chrisliu298/awesome-llm-unlearning|wanglingxiang0717/LLM_Continual_Learning_Papers|enhansome/enhansome-llm-unlearning,plotting_data/privacy.csv|plotting_data/testset.csv|plotting_data/copyright_passages.csv|plotting_data/copyright_checkpoints.csv|plotting_data/copyright_paraphrases.csv|plotting_data/privacy-yago-field-types.csv|scripts/decontamination/results/shard_02_results.csv|scripts/decontamination/results/all_perturbations.csv|scripts/decontamination/results/shard_01.0_results.csv|scripts/decontamination/results/shard_01.1_results.csv|experiments/20250421_dgx_dclm_ablation_runs/llama32_1B_lr6en4_standard_100B/src_config.yml|experiments/20250421_dgx_dclm_ablation_runs/llama32_1B_lr6en4_perturbed_100B/src_config.yml|experiments/20250421_dgx_dclm_ablation_runs/llama32_1B_lr6en4_standard_100B/local_setup.yml|experiments/20250421_dgx_dclm_ablation_runs/llama32_1B_lr6en4_perturbed_100B/local_setup.yml,"only during specific binary files throughout the project. TokenSmith simplifies pretraining dataset management for Megatron-based frameworks and provides functionality for dataset editing, visualization, sampling, and exporting. TokenSmith is available here: https://github.com/aflah02/TokenSmith. 5 Published as a conference paper at ICLR 2026 timeframes during training. This includes two models where perturbations were inserted dur- ing either the first half of training only or the second",corpus/text/iclr-2026-0c8eb54755cf.txt
