paper_id,conference,analysis_stratum,kind,label,page,placement,caption_start,x0,top,x1,bottom,caption_fonts,caption_size_median
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 1,1,main,Oursimulatedconversationsfor6generationtasksonthe15LLMsobserveamajor,108.0,540.369,145.873,550.332,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 2,3,main,ShardedConversationSimulationDiagram.Thesimulationsubjectishighlightedinred.,110.027,178.086,146.281,188.049,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 3,4,main,Conversationsimulationtypesbasedon,306.0,434.641,342.316,444.604,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 4,5,main,Sixshardedtasksincludedinourexperiments.Weincludetasksthatinvolvegenerating,108.0,331.369,144.938,341.332,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,table,Table 1,7,main,"AveragedPerformance(P)ofLLMsonsixtasks(Code,Database,",107.691,233.409,144.782,243.372,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 5,7,main,(a)VisualintroductiontotheconceptsofAptitudeandUnreliabilitywhenoverlaidona,108.0,538.384,144.959,548.347,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 6,18,appendix,Processdiagramofthefour-stepsemi-automaticprocesstotransformfully-specified,108.0,223.687,145.975,233.65,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,table,Table 2,20,appendix,Resultsofthemanualinspectionof100simulatedSconversationsacrossfourtasks:,107.691,175.047,139.012,185.01,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 7,21,appendix,Illustrationsfordifferentsituations.,108.0,523.609,147.53,533.572,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,table,Table 3,22,appendix,"Averagedperformance(P)breakdown,basedonhowearlyintheconversationtheLLM",107.691,317.423,140.575,327.386,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 8,23,appendix,"Averagelength(innumberofcharacters)ofanswerattemptsacrossfourtasks(Code,",108.0,188.702,145.68,198.665,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,figure,Figure 9,24,appendix,Analysisofcitationpatternsinsum-,306.0,494.014,344.463,503.977,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,table,Table 4,25,appendix,"Averagedperformance(P)ofLLMsonthesixexperimentaltasks,arrangedbasedonmodel",107.691,226.014,139.188,235.977,NimbusRomNo9L-Regu,9.963
iclr-2026-a6ddc629568b,ICLR,outstanding,table,Table 5,26,appendix,ExperimentalResultswithadditionalsimulationtypes:RecapandSnowball.Both,107.691,148.123,140.443,158.086,NimbusRomNo9L-Regu,9.963
