paper_id,conference,analysis_stratum,title,figures,tables,main_visuals,appendix_visuals,source_status,selected_repository,markdown,json,paper_url
iclr-2026-8da8f79c49d5,ICLR,oral,$PhyWorldBench$: A Comprehensive Evaluation of Physical Realism in Text-to-Video Models,21,17,10,28,repository_without_visual_source,https://github.com/ashwin-333/phy-world-bench,visual_audits/iclr-2026-8da8f79c49d5.md,visual_audits/iclr-2026-8da8f79c49d5.json,https://openreview.net/forum?id=rlZeILv3fm
iclr-2026-ff40de6c7ac1,ICLR,oral,$p\textrm{-less}$ Sampling: A Robust Hyperparameter-Free Approach for LLM Decoding,19,15,8,26,partial_visual_source,https://github.com/ryttry/p-less,visual_audits/iclr-2026-ff40de6c7ac1.md,visual_audits/iclr-2026-ff40de6c7ac1.json,https://openreview.net/forum?id=ItFuNJQGH4
iclr-2026-707ee355091a,ICLR,oral,A Representer Theorem for Hawkes Processes via Penalized Least Squares Minimization,3,8,4,7,repository_without_visual_source,https://github.com/HidKim/K2Hawkes,visual_audits/iclr-2026-707ee355091a.md,visual_audits/iclr-2026-707ee355091a.json,https://openreview.net/forum?id=gJjRdLG5MY
iclr-2026-3dfd982128a2,ICLR,oral,A Scalable Distributed Framework for Multimodal GigaVoxel Image Registration,8,1,9,0,no_public_source_found,,visual_audits/iclr-2026-3dfd982128a2.md,visual_audits/iclr-2026-3dfd982128a2.json,https://openreview.net/forum?id=8dLexnao2h
iclr-2026-82ba4792ed68,ICLR,oral,Actions Speak Louder than Prompts: A Large-Scale Study of LLMs for Graph Inference,4,12,7,9,no_public_source_found,,visual_audits/iclr-2026-82ba4792ed68.md,visual_audits/iclr-2026-82ba4792ed68.json,https://openreview.net/forum?id=MgJUj9Sk3C
iclr-2026-b001d2f886cf,ICLR,oral,AdAEM: An Adaptively and Automated Extensible Measurement of LLMs' Value Difference,21,18,10,29,no_public_source_found,,visual_audits/iclr-2026-b001d2f886cf.md,visual_audits/iclr-2026-b001d2f886cf.json,https://openreview.net/forum?id=qNlTH4kYJZ
iclr-2026-86ded246ec76,ICLR,oral,Addressing divergent representations from causal interventions on neural networks,9,1,3,7,partial_visual_source,https://github.com/grantsrb/rep_divergence,visual_audits/iclr-2026-86ded246ec76.md,visual_audits/iclr-2026-86ded246ec76.json,https://openreview.net/forum?id=cZrTMqYVL6
iclr-2026-fac989b896c5,ICLR,oral,"Agent Data Protocol: Unifying Datasets for Diverse, Effective Fine-tuning of LLM Agents",4,11,10,5,repository_without_visual_source,neulab/agent-data-protocol,visual_audits/iclr-2026-fac989b896c5.md,visual_audits/iclr-2026-fac989b896c5.json,https://openreview.net/forum?id=tG6301ORHd
iclr-2026-fb08cee992a1,ICLR,oral,AgentGym-RL: An Open-Source Framework to Train LLM Agents for Long-Horizon Decision Making via Multi-Turn RL,22,8,12,18,partial_visual_source,https://github.com/WooooDyy/AgentGym-RL,visual_audits/iclr-2026-fb08cee992a1.md,visual_audits/iclr-2026-fb08cee992a1.json,https://openreview.net/forum?id=ZgCCDwcGwn
iclr-2026-4f0f02a727a0,ICLR,oral,AutoEP: LLMs-Driven Automation of Hyperparameter Evolution for Metaheuristic Algorithms,15,8,10,13,repository_without_visual_source,YiZheZhang12/AutoEP,visual_audits/iclr-2026-4f0f02a727a0.md,visual_audits/iclr-2026-4f0f02a727a0.json,https://openreview.net/forum?id=hit3hGBheP
